ФИТ,ИС,ИС-42,Программирование,Ауд.301,01.12.2023,10:00,Иванов
ФИТ,ИС,ИС-42,Базы данных,Ауд.302,02.12.2023,14:00,Петров
ФИТ,ПОИТ,ПОИТ-21,Web-технологии,Ауд.303,03.12.2023,12:00,Сидоров
ФИТ,ИС,ИС-42,Программирование,Ауд.304,04.12.2023,10:00,Кузнецов
ФИТ,ИС,ИС-42,Базы данных,Ауд.305,05.12.2023,14:00,Смирнов
ФИТ,ПОИТ,ПОИТ-21,Web-технологии,Ауд.306,06.12.2023,12:00,Васильев
ФИТ,ИС,ИС-42,Программирование,Ауд.307,07.12.2023,10:00,Попов
ФИТ,ИС,ИС-42,Базы данных,Ауд.308,08.12.2023,14:00,Морозов
ФИТ,ПОИТ,ПОИТ-21,Web-технологии,Ауд.309,09.12.2023,12:00,Новиков
ФИТ,ИС,ИС-42,Программирование,Ауд.310,10.12.2023,10:00,Козлов
ФИТ,ИС,ИС-42,Базы данных,Ауд.311,11.12.2023,14:00,Лебедев
ФИТ,ПОИТ,ПОИТ-21,Web-технологии,Ауд.312,12.12.2023,12:00,Медведев
ФИТ,ИС,ИС-42,Программирование,Ауд.313,13.12.2023,10:00,Игнатьев
ФИТ,ИС,ИС-42,Базы данных,Ауд.314,14.12.2023,14:00,Селезнев
ФИТ,ПОИТ,ПОИТ-21,Web-технологии,Ауд.315,15.12.2023,12:00,Карпов
ФИТ,ИС,ИС-42,Программирование,Ауд.316,16.12.2023,10:00,Афанасьев
ФИТ,ИС,ИС-42,Базы данных,Ауд.317,17.12.2023,14:00,Денисов
ФИТ,ПОИТ,ПОИТ-21,Web-технологии,Ауд.318,18.12.2023,12:00,Федоров
ФИТ,ИС,ИС-42,Программирование,Ауд.319,19.12.2023,10:00,Щербаков
ФИТ,ИС,ИС-42,Базы данных,Ауд.320,20.12.2023,14:00,Яковлев
